title,description,category,resolution,priority,request_type
threat actor report,users report threat actor stalling; exploit attempt failing for the team; threat actor degraded,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
malware case,escalated because malware delayed; unauthorized access intermittent in a branch office; malware failing,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
exploit attempt request,escalated because exploit attempt recurring; malware unstable during the night shift; exploit attempt flapping,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
vulnerability alert,monitoring flagged vulnerability degraded; credential theft stalling during the night shift; vulnerability degraded,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
exploit attempt report,escalated because exploit attempt delayed; phishing delayed for the team; exploit attempt delayed,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
intrusion fault,monitoring flagged intrusion degraded; credential theft intermittent in one department; intrusion degraded,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
phishing report,monitoring flagged phishing stalling; intrusion degraded at multiple sites; phishing failing,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
threat actor issue,users report threat actor delayed; ransomware unresponsive for the team; threat actor failing,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
intrusion ticket,intrusion delayed; vulnerability unstable at multiple sites; intrusion flapping,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
vulnerability fault,monitoring flagged vulnerability unresponsive; phishing delayed after the upgrade; vulnerability erratic,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
exploit attempt fault,we are seeing exploit attempt stalling; cve recurring for the team; exploit attempt delayed,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
threat actor alert,ongoing threat actor failing; phishing intermittent at multiple sites; threat actor unstable,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
ransomware fault,ongoing ransomware intermittent; credential theft recurring in one department; ransomware stalling,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
exploit attempt report,ongoing exploit attempt degraded; credential theft delayed during the night shift; exploit attempt unresponsive,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
threat actor report,tracking threat actor erratic; ransomware degraded in one department; threat actor unresponsive,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
intrusion issue,monitoring flagged intrusion unresponsive; brute force intermittent during the night shift; intrusion stalling,Security,Contained the threat; removed the malicious artifact and applied the relevant patch.,Medium,Incident
